build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=320 rss_kib=3424 file_bytes=411500544 writes=2048
round=122 elapsed_us=7955 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=123
round=123 elapsed_us=7418 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=124
round=124 elapsed_us=8143 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=125
round=125 elapsed_us=7526 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=126
round=126 elapsed_us=7992 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=127
round=127 elapsed_us=7592 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=128
round=128 elapsed_us=8160 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=129
round=129 elapsed_us=7617 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=130
round=130 elapsed_us=7768 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=131
round=131 elapsed_us=7449 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=132
round=132 elapsed_us=7970 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=133
round=133 elapsed_us=7415 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=134
round=134 elapsed_us=7720 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=135
round=135 elapsed_us=7412 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=136
round=136 elapsed_us=7805 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=137
round=137 elapsed_us=7438 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=138
round=138 elapsed_us=7790 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=139
round=139 elapsed_us=7491 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=140
round=140 elapsed_us=7855 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=141
round=141 elapsed_us=7569 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=142
round=142 elapsed_us=7870 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=143
round=143 elapsed_us=7459 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=144
round=144 elapsed_us=7734 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=145
round=145 elapsed_us=7513 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=146
round=146 elapsed_us=7823 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=147
round=147 elapsed_us=7300 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=148
round=148 elapsed_us=7933 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=149
round=149 elapsed_us=7339 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=150
round=150 elapsed_us=7825 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=151
round=151 elapsed_us=7463 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=152
round=152 elapsed_us=7966 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=153
round=153 elapsed_us=7547 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=154
round=154 elapsed_us=8007 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=155
round=155 elapsed_us=7552 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=156
round=156 elapsed_us=7985 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=157
round=157 elapsed_us=7261 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=158
round=158 elapsed_us=7815 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=159
round=159 elapsed_us=7264 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=160
round=160 elapsed_us=7889 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=161
round=161 elapsed_us=7573 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=162
round=162 elapsed_us=7764 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=163
round=163 elapsed_us=7260 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=164
round=164 elapsed_us=7965 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=165
round=165 elapsed_us=7385 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=166
round=166 elapsed_us=7736 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=167
round=167 elapsed_us=7491 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=168
round=168 elapsed_us=7974 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=169
round=169 elapsed_us=7553 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=170
round=170 elapsed_us=7783 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=171
round=171 elapsed_us=7459 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=172
round=172 elapsed_us=7803 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=173
round=173 elapsed_us=7492 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=174
round=174 elapsed_us=7970 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=175
round=175 elapsed_us=7420 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=176
round=176 elapsed_us=8134 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=177
round=177 elapsed_us=7354 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=178
round=178 elapsed_us=7850 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=179
round=179 elapsed_us=7474 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=180
round=180 elapsed_us=8019 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=181
round=181 elapsed_us=7405 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=182
round=182 elapsed_us=7773 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=183
round=183 elapsed_us=7313 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=184
round=184 elapsed_us=7893 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=185
round=185 elapsed_us=7407 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=186
round=186 elapsed_us=7956 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=187
round=187 elapsed_us=7478 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=188
round=188 elapsed_us=7911 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=189
round=189 elapsed_us=7338 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=190
round=190 elapsed_us=7850 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=191
round=191 elapsed_us=7473 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=192
round=192 elapsed_us=8005 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=193
round=193 elapsed_us=7519 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=194
round=194 elapsed_us=7786 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=195
round=195 elapsed_us=7518 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=196
round=196 elapsed_us=7824 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=197
round=197 elapsed_us=7540 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=198
round=198 elapsed_us=8119 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=199
round=199 elapsed_us=7365 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=200
verified rounds=200 rss_kib=36208 file_bytes=0 total_read_bytes=411500544
